Key,English,Filipino
PROPQUEST_REQUESTBOX_INC_010013,You can find Flybrigen flying between Saint Morning and Garden of Rhisis continents.,Makikita mo ang Flybrigen na lumilipad sa pagitan ng Saint Morning at Garden of Rhisis continents.
PROPQUEST_REQUESTBOX_INC_010014,Moth Infestation (2),Moth Infestation (2)
PROPQUEST_REQUESTBOX_INC_010015,Tina is asking for further help regarding the Mothbee infestation. Could you get rid of the Lord Mothbee?,Naghihingi si Tina ng karagdagang tulong tungkol sa Mothbee infestation. Puwede mo bang patayin ang Lord Mothbee?
PROPQUEST_REQUESTBOX_INC_010016,You can find the Lord Mothbee flying inbetween Northern Saint City & Flaris.,Makikita mo ang Lord Mothbee na lumilipad sa pagitan ng Northern Saint City at Flaris.
PROPQUEST_REQUESTBOX_INC_010017,Mutated Aibatts (2),Mutated Aibatts (2)
PROPQUEST_REQUESTBOX_INC_010018,Tina is asking for further help regarding the Zendros threat. Could you get rid of the Lord Zendros?,Naghihingi si Tina ng karagdagang tulong tungkol sa bantang Zendros. Puwede mo bang patayin ang Lord Zendros?
PROPQUEST_REQUESTBOX_INC_010019,You can find the Lord Zendros flying between Flaris and Saint morning continents.,Makikita mo ang Lord Zendros na lumilipad sa pagitan ng Flaris at Saint Morning continents.
PROPQUEST_REQUESTBOX_INC_010020,Dragonflies (2),Dragonflies (2)
PROPQUEST_REQUESTBOX_INC_010021,Tina is asking for further help regarding the Neparuba threat. Could you get rid of the Lord Neparuba?,Naghihingi si Tina ng karagdagang tulong tungkol sa bantang Neparuba. Puwede mo bang patayin ang Lord Neparuba?
PROPQUEST_REQUESTBOX_INC_010022,You can find the Lord Neparuba flying between Flaris and Saint morning continents.,Makikita mo ang Lord Neparuba na lumilipad sa pagitan ng mga kontinente ng Flaris at Saint Morning.
PROPQUEST_REQUESTBOX_INC_010023,Flybrigen Brigade (2),Flybrigen Brigade (2)
PROPQUEST_REQUESTBOX_INC_010024,Tina is asking for further help regarding the Flybrigen threat. Could you get rid of the Lord Flybrigen?,Humihiling si Tina ng karagdagang tulong tungkol sa banta ng Flybrigen. Puwede mo bang lipulin ang Lord Flybrigen?
PROPQUEST_REQUESTBOX_INC_010025,You can find the Lord Flybrigen flying between Saint Morning and Garden of Rhisis continents.,Makikita mo ang Lord Flybrigen na lumilipad sa pagitan ng Saint Morning at Garden of Rhisis na mga kontinente.
PROPQUEST_REQUESTBOX_INC_010026,Flying Circus,Flying Circus
PROPQUEST_REQUESTBOX_INC_010027,Dior asked for help with reducing the Rockepeller population as they're causing problems with transport between Darkon & Flaris. Could you kill 15 of them?,Humiling si Dior ng tulong para bawasan ang populasyon ng Rockepeller dahil nagdudulot sila ng problema sa transportasyon sa pagitan ng Darkon at Flaris. Puwede mo bang patayin ang 15 sa kanila?
PROPQUEST_REQUESTBOX_INC_010028,You can find Rockepeller flying between Flaris and Darkon continents.,Makikita mo ang Rockepeller na lumilipad sa pagitan ng Flaris at Darkon.
PROPQUEST_REQUESTBOX_INC_010029,Zenma Hunting,Zenma Hunting
PROPQUEST_REQUESTBOX_INC_010030,Almani asked for help with reducing the Zenma population as they're causing problems with forestation in Gouthan Mountains. Could you kill 15 of them?,Humiling si Almani ng tulong para bawasan ang populasyon ng Zenma dahil nagdudulot sila ng problema sa reforestation sa Gouthan Mountains. Puwede mo bang patayin ang 15 sa kanila?
PROPQUEST_REQUESTBOX_INC_010031,You can find Zenma flying above Gouthan Mountains.,Makikita mo ang Zenma na lumilipad sa itaas ng Gouthan Mountains.
PROPQUEST_REQUESTBOX_INC_010032,"Hey look, a flying rat!","Uy, may lumilipad na daga!"
PROPQUEST_REQUESTBOX_INC_010033,"Almani asked for Longwings to be exterminated, as they have been attacking civilians. Could you kill 15 of them?",Hiniling ni Almani na lipulin ang Longwings dahil inaatake nila ang mga sibilyan. Puwede mo bang patayin ang 15 sa kanila?
PROPQUEST_REQUESTBOX_INC_010034,You can find Longwings flying South-East of the Clockworks Cage in the mountains.,Makikita mo ang Longwings na lumilipad sa timog-silangan ng Clockworks Cage sa kabundukan.
PROPQUEST_REQUESTBOX_INC_010035,Baby Meteonyker,Baby Meteonyker
PROPQUEST_REQUESTBOX_INC_010036,"Almani asked for Fafnirs to be exterminated, before they grow into Dragons! Please could you kill 15 of them?",Hiniling ni Almani na lipulin ang mga Fafnir bago pa sila maging dragon! Puwede mo bang patayin ang 15 sa kanila?
PROPQUEST_REQUESTBOX_INC_010037,"You can find Fafnirs flying near the Volcano in Darkon 3, Brekin.","Makikita mo ang mga Fafnir na lumilipad malapit sa bulkan sa Darkon 3, Brekin."
PROPQUEST_REQUESTBOX_INC_010038,Prehistoric Birds,Prehistoric Birds
PROPQUEST_REQUESTBOX_INC_010039,Almani asked for Gorrudas to be exterminated. They are an imminent threat! Please could you kill 15 of them?,Hiniling ni Almani na lipulin ang mga Gorruda. Nanganganib sila! Puwede mo bang patayin ang 15 sa kanila?
PROPQUEST_REQUESTBOX_INC_010040,"You can find Gorrudas flying West of the Deadwallderness, over the mountains.","Makikita mo ang mga Gorruda na lumilipad sa kanluran ng Deadwallderness, ibabaw ng mga kabundukan."
PROPQUEST_REQUESTBOX_INC_010041,Flying Circus (2),Flying Circus (2)
PROPQUEST_REQUESTBOX_INC_010042,Dior asked for further help regarding the Rockepeller threat. Could you get rid of the Lord Rockepeller?,Humihiling si Dior ng karagdagang tulong tungkol sa banta ng Rockepeller. Puwede mo bang patayin ang Lord Rockepeller?
PROPQUEST_REQUESTBOX_INC_010043,You can find the Lord Rockepeller flying between Flaris and Darkon continents.,Makikita mo ang Lord Rockepeller na lumilipad sa pagitan ng Flaris at Darkon.
PROPQUEST_REQUESTBOX_INC_010044,"Hey look, a flying rat! (2)","Uy, may lumilipad na daga! (2)"
PROPQUEST_REQUESTBOX_INC_010045,Almani asked for further help regarding the Longwings threat. Could you get rid of the Lord Longwing?,Humihiling si Almani ng karagdagang tulong tungkol sa banta ng Longwings. Puwede mo bang patayin ang Lord Longwing?
PROPQUEST_REQUESTBOX_INC_010046,You can find the Lord Longwing flying South-East of the Clockworks Cage in the mountains.,Makikita mo ang Lord Longwing na lumilipad sa timog-silangan ng Clockworks Cage sa kabundukan.
PROPQUEST_REQUESTBOX_INC_010047,Baby Meteonyker (2),Baby Meteonyker (2)
PROPQUEST_REQUESTBOX_INC_010048,Almani asked for further help regarding the Fafnir threat. Could you get rid of the Lord Fafnir?,Humihiling si Almani ng karagdagang tulong tungkol sa bantang Fafnir. Puwede mo bang patayin ang Lord Fafnir?
PROPQUEST_REQUESTBOX_INC_010049,"You can find the Lord Fafnir flying near the Volcano in Darkon 3, Brekin.","Makikita mo ang Lord Fafnir na lumilipad malapit sa bulkan sa Darkon 3, Brekin."
PROPQUEST_REQUESTBOX_INC_010050,Prehistoric Birds (2),Prehistoric Birds (2)
PROPQUEST_REQUESTBOX_INC_010051,Almani asked for further help regarding the Gorruda threat. Could you get rid of the Lord Gorruda?,Humihiling si Almani ng karagdagang tulong tungkol sa bantang Gorruda. Puwede mo bang patayin ang Lord Gorruda?
PROPQUEST_REQUESTBOX_INC_010052,"You can find the $QUEST_END_KILL_NAME$ flying West of the Deadwallderness, over the mountains.","Makikita mo ang $QUEST_END_KILL_NAME$ na lumilipad sa kanluran ng Deadwallderness, ibabaw ng mga kabundukan."
PROPQUEST_REQUESTBOX_INC_010053,Zenma Hunting (2),Zenma Hunting (2)
PROPQUEST_REQUESTBOX_INC_010054,Almani asked for further help regarding the Zenma threat. Could you get rid of the Lord Zenma?,Humihiling si Almani ng karagdagang tulong tungkol sa bantang Zenma. Puwede mo bang patayin ang Lord Zenma?
PROPQUEST_REQUESTBOX_INC_010055,You can find the Lord Zenma flying above Gouthan Mountains.,Makikita mo ang Lord Zenma na lumilipad sa itaas ng Gouthan Mountains.
PROPQUEST_REQUESTBOX_INC_020000,You can get $QUEST_END_ITEM_NAME$ from any type of Chimeradon.,Makukuha mo ang $QUEST_END_ITEM_NAME$ mula sa anumang uri ng Chimeradon.
PROPQUEST_REQUESTBOX_INC_020001,You can get $QUEST_END_ITEM_NAME$ from any type of Bearnerky.,Makukuha mo ang $QUEST_END_ITEM_NAME$ mula sa anumang uri ng Bearnerky.
PROPQUEST_REQUESTBOX_INC_020002,You can get $QUEST_END_ITEM_NAME$ from any type of Muffrin.,Makukuha mo ang $QUEST_END_ITEM_NAME$ mula sa anumang uri ng Muffrin.
PROPQUEST_REQUESTBOX_INC_020003,You can get $QUEST_END_ITEM_NAME$ from any type of Popcrank.,Makukuha mo ang $QUEST_END_ITEM_NAME$ mula sa anumang uri ng Popcrank.
PROPQUEST_REQUESTBOX_INC_020004,You can collect $QUEST_END_ITEM_NAME$ from all types of Red Mantis.,Maaari mong kolektahin ang $QUEST_END_ITEM_NAME$ mula sa lahat ng uri ng Red Mantis.
PROPQUEST_REQUESTBOX_INC_020005,Obsessed with Crystals! (1),Obsessed with Crystals! (1)
PROPQUEST_REQUESTBOX_INC_020006,Obsessed with Crystals! (2),Obsessed with Crystals! (2)
PROPQUEST_REQUESTBOX_INC_020007,Obsessed with Crystals! (3),Obsessed with Crystals! (3)
PROPQUEST_REQUESTBOX_INC_020008,Obsessed with Crystals! (4),Obsessed with Crystals! (4)
PROPQUEST_REQUESTBOX_INC_020009,Obsessed with Crystals! (5),Obsessed with Crystals! (5)
PROPQUEST_REQUESTBOX_INC_020010,Crystals! Hmmm.... $QUEST_END_ITEM_NAME$s! Could you please bring me some $QUEST_END_ITEM_NAME$!?,Kristal! Hmmm.... $QUEST_END_ITEM_NAME$s! Puwede mo ba akong dalhan ng ilang $QUEST_END_ITEM_NAME$!?
PROPQUEST_REQUESTBOX_INC_020011,You can get $QUEST_END_ITEM_NAME$ from any type of Medumet.,Makukuha mo ang $QUEST_END_ITEM_NAME$ mula sa anumang uri ng Medumet.
PROPQUEST_REQUESTBOX_INC_020012,You can get $QUEST_END_ITEM_NAME$ from any type of Yetti.,Makukuha mo ang $QUEST_END_ITEM_NAME$ mula sa anumang uri ng Yetti.
PROPQUEST_REQUESTBOX_INC_020013,You can get $QUEST_END_ITEM_NAME$ from any type of Augu.,Makukuha mo ang $QUEST_END_ITEM_NAME$ mula sa anumang uri ng Augu.
PROPQUEST_REQUESTBOX_INC_020014,You can get $QUEST_END_ITEM_NAME$ from any type of Ghost of the Forgotten.,Makukuha mo ang $QUEST_END_ITEM_NAME$ mula sa anumang uri ng Ghost of the Forgotten.
PROPQUEST_REQUESTBOX_INC_020015,You can get $QUEST_END_ITEM_NAME$ from any type of Mammoth.,Makukuha mo ang $QUEST_END_ITEM_NAME$ mula sa anumang uri ng Mammoth.
PROPQUEST_REQUESTBOX_INC_020016,You did it! Hooray! Here's your reward. Come back soon!,Nagawa mo! Hooray! Heto ang iyong gantimpala. Balik ka agad!
PROPQUEST_REQUESTBOX_INC_020017,More! More!,Dagdag! Dagdag!
PROPQUEST_REQUESTBOX_INC_020018,Bring Broken Wings,Magdala ng Sirang Pakpak
PROPQUEST_REQUESTBOX_INC_020019,Tigar Bites,Tigar Bites
PROPQUEST_REQUESTBOX_INC_020020,Googly-Eyed Gogloo,Googly-Eyed Gogloo
PROPQUEST_REQUESTBOX_INC_020021,Nippy Waters,Nippy Waters
PROPQUEST_REQUESTBOX_INC_020022,Hard Shell of the Creper,Hard Shell of the Creper
PROPQUEST_REQUESTBOX_INC_020023,Crumbly Purple Essence,Crumbly Purple Essence
PROPQUEST_REQUESTBOX_INC_020024,A Gray Picture of Dorian,Isang Mapusyaw na Larawan ni Dorian
PROPQUEST_REQUESTBOX_INC_020025,King of Coral Island,Hari ng Coral Island
PROPQUEST_REQUESTBOX_INC_020026,Letter in a Bottle,Liham sa Isang Bote
PROPQUEST_REQUESTBOX_INC_020027,Hello adventurer... would you bring me $QUEST_END_ITEM_NAME$ from the Atrox? I want to build giant wings I can soar the skies with! Bring me all you can find...,Hello adventurer... puwede mo bang dalhin sa akin ang $QUEST_END_ITEM_NAME$ mula sa Atrox? Gusto kong gumawa ng higanteng pakpak para lumipad ako sa kalangitan! Dalhin mo lahat ng makikita mo...
PROPQUEST_REQUESTBOX_INC_020028,Tigars are known to have some of the strongest teeth in all of Madrigal. If you come across $QUEST_END_ITEM_NAME$ could you bring me a few? I'm crafting a giant dagger... it'll be HUGE!,"Kilala ang mga Tigar na may ilan sa pinakamalakas na ngipin sa buong Madrigal. Kung makakita ka ng $QUEST_END_ITEM_NAME$, puwede mo ba akong dalhan ng ilang piraso? Ginagawa ko ang isang higanteng punyal... malaki talaga!"
PROPQUEST_REQUESTBOX_INC_020029,The glass inside a Meral's $QUEST_END_ITEM_NAME$ can enhance a person's vision thrice their normal spotting distance. Collect me enough and I could build a telescope to peer halfway across the globe!,Ang salamin sa loob ng $QUEST_END_ITEM_NAME$ ng Meral ay kayang palakihin ang paningin ng isang tao nang tatlong beses kaysa normal. Kolektahin mo ang sapat at makakagawa ako ng teleskopyo na makakakita ng kalahati ng mundo!
PROPQUEST_REQUESTBOX_INC_020030,"All this inventing has me famished! Could you go get me some of the Kingster's $QUEST_END_ITEM_NAME$? We'll eat like kings! Don't worry, I'll share...","Gutom na gutom na ako sa dami ng imbensyon! Puwede mo bang kunin para sa akin ang $QUEST_END_ITEM_NAME$ ng Kingster? Kakain tayo na parang mga hari! Huwag mag-alala, hahatiin ko rin naman."
PROPQUEST_REQUESTBOX_INC_020031,"After all that seafood I couldn't eat another bite! For this next invention, I need $QUEST_END_ITEM_NAME$ from the large crabs called Creper. From their hard carapace I will craft the strongest of armors. I forsee a fate in which doning this armor will save Coral Island!","Pagkatapos ng lahat ng pagkaing-dagat hindi ko na kinaya kumain pa ng isa pang kagat! Para sa susunod kong imbensyon, kailangan ko ng $QUEST_END_ITEM_NAME$ mula sa malalaking alimangong tinatawag na Creper. Mula sa matigas nilang baluti gagawa ako ng pinakamatatag na baluti—baka sakaling mailigtas nito ang Coral Island!"
PROPQUEST_REQUESTBOX_INC_020032,"The Naga are powerful warriors of the sea... their $QUEST_END_ITEM_NAME$ are said to hold magical powers that can be used to harness purple energy. I have a healthy fear of Purple Magic, but what doesn't kill you only makes you stronger.","Ang mga Naga ay makapangyarihang mandirigma ng dagat... sinasabing ang kanilang mga $QUEST_END_ITEM_NAME$ ay may mahikal na kapangyarihang magamit para kontrolin ang purple energy. Natatakot ako sa Purple Magic, pero ang hindi pumapatay sa'yo ay nagpapalakas sa'yo."
PROPQUEST_REQUESTBOX_INC_020033,The Dorian have risen from the seas around our island! Please defeat them and collect their $QUEST_END_ITEM_NAME$ as proof. My inventions can only hold them back for so long...,"Ang mga Dorian ay bumangon mula sa dagat sa paligid ng ating isla! Pakiusap, talunin mo sila at kolektahin ang kanilang $QUEST_END_ITEM_NAME$ bilang patunay. Hindi sapat ang aking mga imbensyon para pigilan sila mag-isa..."
PROPQUEST_REQUESTBOX_INC_020034,"The $QUEST_END_ITEM_NAME$ of the Okean must be mine! I know having their crown won't make me a king, but it will put me on the path of my dream. To be King of Coral Island!","Ang $QUEST_END_ITEM_NAME$ ng Okean ay dapat mapasakamay ko! Alam kong hindi ako magiging hari dahil lang diyan, pero dadalhin ako nito sa landas ng aking pangarap—maging Hari ng Coral Island!"
PROPQUEST_REQUESTBOX_INC_020035,"With the $QUEST_END_ITEM_NAME$ from the Kraken, I could finally write to all my friends across the oceans. There's never enough time to keep up with everyone...","Kung makukuha ko ang $QUEST_END_ITEM_NAME$ mula sa Kraken, makakasulat na ako sa lahat ng kaibigan ko sa buong mga karagatan. Hindi sapat ang oras para makaabot sa lahat..."
PROPQUEST_REQUESTBOX_INC_020036,You may find $QUEST_END_ITEM_NAME$ from any of the Atrox crawling around the island.,Maaaring makuha mo ang $QUEST_END_ITEM_NAME$ mula sa anumang Atrox na gumagapang sa paligid ng isla.
PROPQUEST_REQUESTBOX_INC_020037,You may find $QUEST_END_ITEM_NAME$ from Tigars around the island.,Maaaring makuha mo ang $QUEST_END_ITEM_NAME$ mula sa mga Tigar sa paligid ng isla.
PROPQUEST_REQUESTBOX_INC_020038,You may find $QUEST_END_ITEM_NAME$ from the Meral patroling the beaches.,Maaaring makuha mo ang $QUEST_END_ITEM_NAME$ mula sa mga Meral na nagpapatrolya sa mga dalampasigan.
PROPQUEST_REQUESTBOX_INC_020039,You may find delicious $QUEST_END_ITEM_NAME$ from Kingsters in shallow waters around the island.,Maaaring makuha mo ang masarap na $QUEST_END_ITEM_NAME$ mula sa mga Kingster sa mababaw na tubig sa paligid ng isla.
PROPQUEST_REQUESTBOX_INC_020040,You may find tough $QUEST_END_ITEM_NAME$ from Creper around the beach area.,Maaaring makuha mo ang matitibay na $QUEST_END_ITEM_NAME$ mula sa Creper sa paligid ng baybayin.
PROPQUEST_REQUESTBOX_INC_020041,You may find $QUEST_END_ITEM_NAME$ from Naga around Coral Island.,Maaaring makuha mo ang $QUEST_END_ITEM_NAME$ mula sa mga Naga sa paligid ng Coral Island.
PROPQUEST_REQUESTBOX_INC_020042,You may find $QUEST_END_ITEM_NAME$ left behind by Dorian around Coral Island.,Maaaring makuha mo ang $QUEST_END_ITEM_NAME$ na iniwan ng mga Dorian sa paligid ng Coral Island.
PROPQUEST_REQUESTBOX_INC_020043,"You may find magnificient $QUEST_END_ITEM_NAME$ from Okean, deep in the waters of Coral Island's seas.","Maaaring makuha mo ang kahanga-hangang $QUEST_END_ITEM_NAME$ mula sa Okean, sa kailaliman ng dagat ng Coral Island."
PROPQUEST_REQUESTBOX_INC_020044,You may find $QUEST_END_ITEM_NAME$ inside the bellies of the deep-sea Kraken.,Maaaring makuha mo ang $QUEST_END_ITEM_NAME$ sa loob ng tiyan ng malalim-dagat na Kraken.
PROPQUEST_REQUESTBOX_INC_020045,"Please, don't make me go collect $QUEST_END_ITEM_NAME$ all on my own... I'm too busy dreaming up new inventions!","Please, huwag mo akong padalhin para mag-isa mangolekta ng $QUEST_END_ITEM_NAME$... masyado akong abala sa pag-iimbento ng mga bagong bagay!"
PROPQUEST_REQUESTBOX_INC_020046,"Thank you for collecting all those $QUEST_END_ITEM_NAME$, adventurer! Soon I'll be soaring the skies with ease. See you at the Rainbow Race!","Salamat sa pagkolekta ng lahat ng $QUEST_END_ITEM_NAME$, manlalakbay! Malapit na akong makalipad nang maginhawa. Kita tayo sa Rainbow Race!"
PROPQUEST_REQUESTBOX_INC_020047,"Thank you for collecting all those $QUEST_END_ITEM_NAME$, adventurer! Soon I'll have the biggest dagger in Madrigal. Hehehe, catch me showing off to the Demians!","Salamat sa pagkolekta ng lahat ng $QUEST_END_ITEM_NAME$, manlalakbay! Malapit na akong magkaroon ng pinakamalaking punyal sa Madrigal. Hehehe, hintayin mo makita mo akong magyabang sa mga Demians!"
PROPQUEST_REQUESTBOX_INC_020048,"Thank you for collecting all those $QUEST_END_ITEM_NAME$, adventurer! Soon I'll be able to see the sights without ever leaving my home!","Salamat sa pagkolekta ng lahat ng $QUEST_END_ITEM_NAME$, manlalakbay! Malapit na akong makita ang tanawin kahit hindi umaalis ng bahay!"
PROPQUEST_REQUESTBOX_INC_020049,"Thank you for collecting all those $QUEST_END_ITEM_NAME$, adventurer! We're going to be so full! Eat up, it's time to feast!","Salamat sa pagkolekta ng lahat ng $QUEST_END_ITEM_NAME$, manlalakbay! Busog na tayo! Kain na — oras na para magdiriwang!"
PROPQUEST_REQUESTBOX_INC_020050,"Thank you for collecting all those $QUEST_END_ITEM_NAME$, adventurer! Soon I'll have armor enough to defend Coral Island against all evil!","Salamat sa pagkolekta ng lahat ng $QUEST_END_ITEM_NAME$, manlalakbay! Malapit na akong makagawa ng baluti na makakapagtanggol sa Coral Island laban sa lahat ng kasamaan!"
PROPQUEST_REQUESTBOX_INC_020051,"Thank you for collecting all those $QUEST_END_ITEM_NAME$, adventurer! Soon I'll know more about this Purple Magic... Perhaps one day enough to stop its evil from taking over Coral Island.","Salamat sa pagkolekta ng lahat ng $QUEST_END_ITEM_NAME$, manlalakbay! Malapit ko nang mas maintindihan ang Purple Magic... Baka balang araw mapigilan natin ang kasamaan nito sa Coral Island."
PROPQUEST_REQUESTBOX_INC_020052,"Thank you for collecting all those $QUEST_END_ITEM_NAME$, adventurer! Those fishy creatures have a strange power that makes them age slower than others. Perhaps studying their teeth can give us insight to the Dorian's special powers.","Salamat sa pagkolekta ng lahat ng $QUEST_END_ITEM_NAME$, manlalakbay! Mukhang may kakaibang kapangyarihan ang mga nilalang-dagat na 'to na nagpapabagal ng kanilang pagtanda. Siguro may magandang matutunan tayo mula sa kanilang mga ngipin tungkol sa lakas ng mga Dorian."
PROPQUEST_REQUESTBOX_INC_020053,"Thank you for collecting all those $QUEST_END_ITEM_NAME$, adventurer! It's just a dream... but I hope to one day greet you again as King of Coral Island.","Salamat sa pagkolekta ng lahat ng $QUEST_END_ITEM_NAME$, manlalakbay! Pangarap lang ito... pero sana isang araw masalubong kitang muli bilang Hari ng Coral Island."
PROPQUEST_REQUESTBOX_INC_020054,"Thank you for collecting all those $QUEST_END_ITEM_NAME$, adventurer! I've decided to write these letters and deliver them myself. Thank you for everything... I hope to see you again one day!","Salamat sa pagkolekta ng lahat ng $QUEST_END_ITEM_NAME$, manlalakbay! Pinili kong isulat at ipadala mismo ang mga liham na ito. Salamat sa lahat... sana magkita tayong muli balang araw!"
PROPQUEST_REQUESTBOX_INC_020055,That isn't nearly enough $QUEST_END_ITEM_NAME$ for me to build one of my grand inventions... come back with more!,Hindi pa sapat ang dami ng $QUEST_END_ITEM_NAME$ para makagawa ako ng isa sa malalaking imbensyon ko... bumalik ka kapag may dala ka pang marami!
PROPQUEST_REQUESTBOX_INC_020056,$QUEST_END_NPC_NAME$ cackles with glee! Soon their inventions will become a reality.,Tumatawa si $QUEST_END_NPC_NAME$ ng may tuwa! Malapit nang maging realidad ang kanilang mga imbensyon.
PROPQUEST_REQUESTBOX_INC_020057,The Skulls of the Hundur Sharpfoot,Ang mga Bungo ng Hundur Sharpfoot
PROPQUEST_REQUESTBOX_INC_020058,"The Hundur Sharpfoot gather near Kaillun’s borders, and their skulls bear strange markings. The Muran need them to decipher the secrets behind their rituals.","Nagkakatipon ang Hundur Sharpfoot malapit sa hangganan ng Kaillun, at kakaiba ang mga marka sa kanilang mga bungo. Kailangan ito ng mga Muran para ma-decode ang mga lihim ng kanilang ritwal."
PROPQUEST_REQUESTBOX_INC_020059,Excellent! The Muran are counting on you. Go gather 325 $QUEST_END_ITEM_NAME$ and return once you have enough. You can find them on the Hundur Sharpfoot.,Mahusay! Umaasa ang mga Muran sa'yo. Kumuha ka ng 325 $QUEST_END_ITEM_NAME$ at bumalik kapag sapat na. Makikita mo ang mga ito sa Hundur Sharpfoot.
PROPQUEST_REQUESTBOX_INC_020060,I see… but these creatures are growing more aggressive. Come back if you change your mind.,Naiintindihan ko… pero mas lumalakas na ang mga nilalang na ito. Bumalik ka kung babaguhin mo ang isip mo.
PROPQUEST_REQUESTBOX_INC_020061,"You haven't gathered enough skulls yet… Keep going, each specimen is important to us.","Wala ka pang sapat na bungo… Ipagpatuloy mo, mahalaga ang bawat specimen."
PROPQUEST_REQUESTBOX_INC_020062,Perfect! These skulls will be of great use to us. Kaillun thanks you for your determination.,Perpekto! Malaking tulong ang mga bungo na ito sa amin. Nagpapasalamat ang Kaillun sa iyong determinasyon.
PROPQUEST_REQUESTBOX_INC_020063,The Skulls of the Samoset,Ang mga Bungo ng Samoset
PROPQUEST_REQUESTBOX_INC_020064,The Samoset spirits have grown increasingly aggressive in the plains. The sages of Kaillun seek their skulls to understand the source of their unusual unrest.,Lalong naging agresibo ang mga espiritu ng Samoset sa kapatagan. Hinahangad ng mga pantas ng Kaillun ang kanilang mga bungo upang maunawaan ang pinagmulan ng kanilang kaguluhan.
PROPQUEST_REQUESTBOX_INC_020065,Thank you! The Samoset spirits are becoming unstable. Bring back 325 $QUEST_END_ITEM_NAME$ from the Samoset so we can analyze their unrest.,Salamat! Nagiging hindi matatag ang mga espiritu ng Samoset. Magdala ng 325 $QUEST_END_ITEM_NAME$ mula sa Samoset para masuri namin ang kanilang kaguluhan.
PROPQUEST_REQUESTBOX_INC_020066,Very well… but their unrest intensifies each day. Return if you change your mind.,Sige… pero araw-araw lumalala ang kanilang pagkabalisa. Bumalik kung babaguhin mo ang isip mo.
PROPQUEST_REQUESTBOX_INC_020067,"You still don't have enough… Keep going, we must understand what's disturbing them.","Wala ka pa rin ng sapat… Ipagpatuloy mo, kailangan nating maintindihan ang sanhi ng pag-aalboroto."
PROPQUEST_REQUESTBOX_INC_020068,Perfect! These skulls will help us uncover the truth. Thank you for your help.,Perpekto! Makakatulong ang mga bungo na ito para matuklasan ang katotohanan. Salamat sa iyong tulong.
PROPQUEST_REQUESTBOX_INC_020069,The Claws of the Kyouchish,Ang mga Pangil ng Kyouchish
PROPQUEST_REQUESTBOX_INC_020070,The Kyouchish have been injuring many Muran scouts with their corrosive strikes. Their claws are needed to craft a protective remedy.,Marami sa mga scout ng Muran ang nasasaktan dahil sa nakakakalas na saksak ng Kyouchish. Kailangan ang kanilang mga kuko upang makagawa ng pananggalang na lunas.
PROPQUEST_REQUESTBOX_INC_020071,Good! Their claws are poisoning our scouts. Bring back 325 $QUEST_END_ITEM_NAME$ from the Kyouchish.,Magaling! Nakakalason ang mga kuko nila sa mga scout namin. Magbalik ng 325 $QUEST_END_ITEM_NAME$ mula sa Kyouchish.
PROPQUEST_REQUESTBOX_INC_020072,I understand… but we're running out of remedies. Return if you wish to help.,Naiintindihan ko… pero nauubos na ang mga lunas namin. Bumalik kung nais mong tumulong.
PROPQUEST_REQUESTBOX_INC_020073,"You're still missing some. The Kyouchish are dangerous, stay careful.",Kulang ka pa. Delikado ang Kyouchish—mag-ingat ka.
PROPQUEST_REQUESTBOX_INC_020074,"Excellent! With these claws, our healers can prepare a proper antidote.","Napakahusay! Sa mga kuko na ito, makakapaghanda ang mga manggagamot namin ng tamang antidote."
PROPQUEST_REQUESTBOX_INC_020075,The Kanonicus Antidote,Ang Kanonicus Antidote
PROPQUEST_REQUESTBOX_INC_020076,The Kanonicus carry a natural antidote within their dorsal glands. Kaillun urgently needs it to heal warriors poisoned by the Lycans.,May natural na antidote ang Kanonicus sa kanilang dorsal glands. Kailangan ito ng Kaillun para gumaling ang mga mandirigong na-lason ng mga Lycans.
PROPQUEST_REQUESTBOX_INC_020077,Thank you! Their natural antidote is vital for our wounded soldiers. Bring back 325 $QUEST_END_ITEM_NAME$ from the Kanonicus.,Salamat! Mahalagang gamot ang likas nilang antidote para sa aming mga nasugatang sundalo. Magbalik ng 325 $QUEST_END_ITEM_NAME$ mula sa Kanonicus.
PROPQUEST_REQUESTBOX_INC_020078,A shame… several warriors are still waiting to be treated.,Nakakalungkot… may ilang mandirigma pa ring naghihintay ng lunas.
PROPQUEST_REQUESTBOX_INC_020079,"You don’t have enough yet. Hurry, every drop counts.",Wala ka pa ng sapat. Bilangin muna — mahalaga bawat patak.
PROPQUEST_REQUESTBOX_INC_020080,"Perfect! Thanks to you, we can finally treat our wounded.","Perpekto! Dahil sa iyo, makakagamot na namin ang mga nasugatang mandirigma."
PROPQUEST_REQUESTBOX_INC_020081,The Magic Skulls of the Redcloud,Ang Magic Skulls ng Redcloud
PROPQUEST_REQUESTBOX_INC_020082,The Redcloud generate a mysterious energy within their skulls. Muran shamans want to study this magic to reinforce the city's protective wards.,Nagre-request ang mga Muran shaman na pag-aralan ang misteryosong enerhiya sa mga bungo ng Redcloud upang palakasin ang proteksyon ng lungsod.
